,Unique ID ,Parent,Name,Tier 1,Tier 2,Tier 3,Tier 4
154,155,150,Museums & Galleries,Attractions,Museums & Galleries,,
155,158,150,Nightclubs,Attractions,Nightclubs,,
156,159,150,Outdoor Attractions,Attractions,Outdoor Activities,,
157,160,150,Parks,Attractions,Parks & Nature,,
158,177,150,Theater Venues,Attractions,Theater Venues,,
159,178,150,Zoos & Aquariums,Attractions,Zoos & Aquariums,,
160,179,150,Bars & Restaurants,Attractions,Bars & Restaurants,,
161,181,150,Casinos & Gambling,Attractions,Casinos & Gambling,,
162,161,150,Party Supplies and Decorations,Shopping,Party Supplies and Decorations,,
163,163,163,Personal Celebrations & Life Events,Personal Celebrations & Life Events,,,
164,164,163,Anniversary,Personal Celebrations & Life Events,Anniversary,,
165,165,163,Wedding,Personal Celebrations & Life Events,Wedding,,
166,166,163,Baby Shower,Personal Celebrations & Life Events,Baby Shower,,
167,167,163,Bachelor Party,Personal Celebrations & Life Events,Bachelor Party,,
168,168,163,Bachelorette Party,Personal Celebrations & Life Events,Bachelorette Party,,
169,169,163,Birth,Personal Celebrations & Life Events,Birth,,
170,170,163,Birthday,Personal Celebrations & Life Events,Birthday,,
171,171,163,Funeral,Personal Celebrations & Life Events,Funeral,,
172,172,163,Graduation,Personal Celebrations & Life Events,Graduation,,
173,173,163,Prom,Personal Celebrations & Life Events,Prom,,
174,186,186,Family and Relationships,Family and Relationships,,,
175,187,186,Bereavement,Family and Relationships,Bereavement,,
176,188,186,Dating,Family and Relationships,Dating,,
177,189,186,Divorce,Family and Relationships,Divorce,,
178,190,186,Eldercare,Family and Relationships,Eldercare,,
179,191,186,Marriage and Civil Unions,Family and Relationships,Marriage and Civil Unions,,
180,192,186,Parenting,Family and Relationships,Parenting,,
181,193,192,Adoption and Fostering,Family and Relationships,Parenting,Adoption and Fostering,
182,194,192,Daycare and Pre-School,Family and Relationships,Parenting,Daycare and Pre-School,
183,195,192,Internet Safety,Family and Relationships,Parenting,Internet Safety,
184,196,192,Parenting Babies and Toddlers,Family and Relationships,Parenting,Parenting Babies and Toddlers,
185,197,192,Parenting Children Aged 4-11,Family and Relationships,Parenting,Parenting Children Aged 4-11,
186,198,192,Parenting Teens,Family and Relationships,Parenting,Parenting Teens,
187,199,192,Special Needs Kids,Family and Relationships,Parenting,Special Needs Kids,
188,200,186,Single Life,Family and Relationships,Single Life,,
189,201,,Fine Art,Fine Art,,,
190,202,201,Costume,Fine Art,Costume,,
191,203,201,Dance,Fine Art,Dance,,
192,204,201,Design,Fine Art,Design,,
193,205,201,Digital Arts,Fine Art,Digital Arts,,
194,206,201,Fine Art Photography,Fine Art,Fine Art Photography,,
195,207,201,Modern Art,Fine Art,Modern Art,,
196,208,201,Opera,Fine Art,Opera,,
197,209,201,Theater,Fine Art,Theater,,
198,210,,Food & Drink,Food & Drink,,,
199,211,210,Alcoholic Beverages,Food & Drink,Alcoholic Beverages,,
200,212,210,Vegan Diets,Food & Drink,Vegan Diets,,
201,213,210,Vegetarian Diets,Food & Drink,Vegetarian Diets,,
202,214,210,World Cuisines,Food & Drink,World Cuisines,,
203,215,210,Barbecues and Grilling,Food & Drink,Barbecues and Grilling,,
204,216,210,Cooking,Food & Drink,Cooking,,
205,217,210,Desserts and Baking,Food & Drink,Desserts and Baking,,
206,218,210,Dining Out,Food & Drink,Dining Out,,
207,219,210,Food Allergies,Food & Drink,Food Allergies,,
208,220,210,Food Movements,Food & Drink,Food Movements,,
209,221,210,Healthy Cooking and Eating,Food & Drink,Healthy Cooking and Eating,,
210,222,210,Non-Alcoholic Beverages,Food & Drink,Non-Alcoholic Beverages,,
211,223,,Healthy Living,Healthy Living,,,
212,224,223,Children's Health,Healthy Living,Children's Health,,
213,225,223,Fitness and Exercise,Healthy Living,Fitness and Exercise,,
214,226,225,Participant Sports,Healthy Living,Fitness and Exercise,Participant Sports,
215,227,225,Running and Jogging,Healthy Living,Fitness and Exercise,Running and Jogging,
216,228,223,Men's Health,Healthy Living,Men's Health,,
217,229,223,Nutrition,Healthy Living,Nutrition,,
218,230,223,Senior Health,Healthy Living,Senior Health,,
219,231,223,Weight Loss,Healthy Living,Weight Loss,,
220,232,223,Wellness,Healthy Living,Wellness,,
221,233,232,Alternative Medicine,Healthy Living,Wellness,Alternative Medicine,
222,234,233,Herbs and Supplements,Healthy Living,Wellness,Alternative Medicine,Herbs and Supplements
223,235,233,Holistic Health,Healthy Living,Wellness,Alternative Medicine,Holistic Health
224,236,232,Physical Therapy,Healthy Living,Wellness,Physical Therapy,
225,237,232,Smoking Cessation,Healthy Living,Wellness,Smoking Cessation,
226,238,223,Women's Health,Healthy Living,Women's Health,,
227,239,,Hobbies & Interests,Hobbies & Interests,,,
228,240,239,Antiquing and Antiques,Hobbies & Interests,Antiquing and Antiques,,
229,241,239,Magic and Illusion,Hobbies & Interests,Magic and Illusion,,
230,242,239,Model Toys,Hobbies & Interests,Model Toys,,
231,243,239,Musical Instruments,Hobbies & Interests,Musical Instruments,,
232,244,239,Paranormal Phenomena,Hobbies & Interests,Paranormal Phenomena,,
233,245,239,Radio Control,Hobbies & Interests,Radio Control,,
234,246,239,Sci-fi and Fantasy,Hobbies & Interests,Sci-fi and Fantasy,,
235,247,239,Workshops and Classes,Hobbies & Interests,Workshops and Classes,,
236,248,239,Arts and Crafts,Hobbies & Interests,Arts and Crafts,,
237,249,248,Beadwork,Hobbies & Interests,Arts and Crafts,Beadwork,
238,250,248,Candle and Soap Making,Hobbies & Interests,Arts and Crafts,Candle and Soap Making,
239,251,248,Drawing and Sketching,Hobbies & Interests,Arts and Crafts,Drawing and Sketching,
240,252,248,Jewelry Making,Hobbies & Interests,Arts and Crafts,Jewelry Making,
241,253,248,Needlework,Hobbies & Interests,Arts and Crafts,Needlework,
242,254,248,Painting,Hobbies & Interests,Arts and Crafts,Painting,
243,255,248,Photography,Hobbies & Interests,Arts and Crafts,Photography,
244,256,248,Scrapbooking,Hobbies & Interests,Arts and Crafts,Scrapbooking,
245,257,248,Woodworking,Hobbies & Interests,Arts and Crafts,Woodworking,
246,258,239,Beekeeping,Hobbies & Interests,Beekeeping,,
247,259,239,Birdwatching,Hobbies & Interests,Birdwatching,,
248,260,239,Cigars,Hobbies & Interests,Cigars,,
249,261,239,Collecting,Hobbies & Interests,Collecting,,
250,262,261,Comic Books,Hobbies & Interests,Collecting,Comic Books,
251,263,261,Stamps and Coins,Hobbies & Interests,Collecting,Stamps and Coins,
252,264,239,Content Production,Hobbies & Interests,Content Production,,
253,265,264,Audio Production,Hobbies & Interests,Content Production,Audio Production,
254,266,264,Freelance Writing,Hobbies & Interests,Content Production,Freelance Writing,
255,267,264,Screenwriting,Hobbies & Interests,Content Production,Screenwriting,
256,268,264,Video Production,Hobbies & Interests,Content Production,Video Production,
257,269,239,Games and Puzzles,Hobbies & Interests,Games and Puzzles,,
258,270,269,Board Games and Puzzles,Hobbies & Interests,Games and Puzzles,Board Games and Puzzles,
259,271,269,Card Games,Hobbies & Interests,Games and Puzzles,Card Games,
260,272,269,Roleplaying Games,Hobbies & Interests,Games and Puzzles,Roleplaying Games,
261,273,239,Genealogy and Ancestry,Hobbies & Interests,Genealogy and Ancestry,,
262,274,,Home & Garden,Home & Garden,,,
263,275,274,Gardening,Home & Garden,Gardening,,
264,276,274,Remodeling & Construction,Home & Garden,Remodeling & Construction,,
265,277,274,Smart Home,Home & Garden,Smart Home,,
266,278,274,Home Appliances,Home & Garden,Home Appliances,,
267,279,274,Home Entertaining,Home & Garden,Home Entertaining,,
268,280,274,Home Improvement,Home & Garden,Home Improvement,,
269,281,274,Home Security,Home & Garden,Home Security,,
270,282,274,Indoor Environmental Quality,Home & Garden,Indoor Environmental Quality,,
271,283,274,Interior Decorating,Home & Garden,Interior Decorating,,
272,284,274,Landscaping,Home & Garden,Landscaping,,
273,285,274,Outdoor Decorating,Home & Garden,Outdoor Decorating,,
274,286,,Medical Health,Medical Health,,,
275,287,286,Diseases and Conditions,Medical Health,Diseases and Conditions,,
276,288,287,Allergies,Medical Health,Diseases and Conditions,Allergies,
277,289,287,"Ear, Nose and Throat Conditions",Medical Health,Diseases and Conditions,"Ear, Nose and Throat Conditions",
278,290,287,Endocrine and Metabolic Diseases,Medical Health,Diseases and Conditions,Endocrine and Metabolic Diseases,
279,291,290,Hormonal Disorders,Medical Health,Diseases and Conditions,Endocrine and Metabolic Diseases,Hormonal Disorders
280,292,290,Menopause,Medical Health,Diseases and Conditions,Endocrine and Metabolic Diseases,Menopause
281,293,290,Thyroid Disorders,Medical Health,Diseases and Conditions,Endocrine and Metabolic Diseases,Thyroid Disorders
282,294,287,Eye and Vision Conditions,Medical Health,Diseases and Conditions,Eye and Vision Conditions,
283,295,287,Foot Health,Medical Health,Diseases and Conditions,Foot Health,
284,296,287,Heart and Cardiovascular Diseases,Medical Health,Diseases and Conditions,Heart and Cardiovascular Diseases,
285,297,287,Infectious Diseases,Medical Health,Diseases and Conditions,Infectious Diseases,
286,298,287,Injuries,Medical Health,Diseases and Conditions,Injuries,
287,299,298,First Aid,Medical Health,Diseases and Conditions,Injuries,First Aid
288,300,287,Lung and Respiratory Health,Medical Health,Diseases and Conditions,Lung and Respiratory Health,
289,301,287,Mental Health,Medical Health,Diseases and Conditions,Mental Health,
290,302,287,Reproductive Health,Medical Health,Diseases and Conditions,Reproductive Health,
291,303,302,Birth Control,Medical Health,Diseases and Conditions,Reproductive Health,Birth Control
292,304,302,Infertility,Medical Health,Diseases and Conditions,Reproductive Health,Infertility
293,305,302,Pregnancy,Medical Health,Diseases and Conditions,Reproductive Health,Pregnancy
294,306,287,Blood Disorders,Medical Health,Diseases and Conditions,Blood Disorders,
295,307,287,Sexual Health,Medical Health,Diseases and Conditions,Sexual Health,
296,308,307,Sexual Conditions,Medical Health,Diseases and Conditions,Sexual Health,Sexual Conditions
297,309,287,Skin and Dermatology,Medical Health,Diseases and Conditions,Skin and Dermatology,
298,310,287,Sleep Disorders,Medical Health,Diseases and Conditions,Sleep Disorders,
299,311,287,Substance Abuse,Medical Health,Diseases and Conditions,Substance Abuse,
300,312,287,Bone and Joint Conditions,Medical Health,Diseases and Conditions,Bone and Joint Conditions,
301,313,287,Brain and Nervous System Disorders,Medical Health,Diseases and Conditions,Brain and Nervous System Disorders,
302,314,287,Cancer,Medical Health,Diseases and Conditions,Cancer,
303,315,287,Cold and Flu,Medical Health,Diseases and Conditions,Cold and Flu,
304,316,287,Dental Health,Medical Health,Diseases and Conditions,Dental Health,
305,317,287,Diabetes,Medical Health,Diseases and Conditions,Diabetes,
306,318,287,Digestive Disorders,Medical Health,Diseases and Conditions,Digestive Disorders,
307,319,286,Medical Tests,Medical Health,Medical Tests,,
308,320,286,Pharmaceutical Drugs,Medical Health,Pharmaceutical Drugs,,
309,321,286,Surgery,Medical Health,Surgery,,
310,322,286,Vaccines,Medical Health,Vaccines,,
311,323,286,Cosmetic Medical Services,Medical Health,Cosmetic Medical Services,,
312,JLBCU7,,Entertainment,,,,
313,324,JLBCU7,Movies,Entertainment,Movies,,
314,338,JLBCU7,Music,Entertainment,Music,,
315,339,338,Adult Contemporary Music,Music,Adult Contemporary Music,,
316,340,339,Soft AC Music,Music,Adult Contemporary Music,Soft AC Music,
317,341,339,Urban AC Music,Music,Adult Contemporary Music,Urban AC Music,
318,342,338,Adult Album Alternative,Music,Adult Album Alternative,,
319,343,338,Alternative Music,Music,Alternative Music,,
320,344,338,Children's Music,Music,Children's Music,,
321,345,338,Classic Hits,Music,Classic Hits,,
322,346,338,Classical Music,Music,Classical Music,,
323,347,338,College Radio,Music,College Radio,,
324,348,338,Comedy (Music and Audio),Music,Comedy (Music and Audio),,
325,349,338,Contemporary Hits/Pop/Top 40,Music,Contemporary Hits/Pop/Top 40,,
326,350,338,Country Music,Music,Country Music,,
327,351,338,Dance and Electronic Music,Music,Dance and Electronic Music,,
328,352,338,World/International Music,Music,World/International Music,,
329,353,338,Songwriters/Folk,Music,Songwriters/Folk,,
330,354,338,Gospel Music,Music,Gospel Music,,
331,355,338,Hip Hop Music,Music,Hip Hop Music,,
332,356,338,Inspirational/New Age Music,Music,Inspirational/New Age Music,,
333,357,338,Jazz,Music,Jazz,,
334,358,338,Oldies/Adult Standards,Music,Oldies/Adult Standards,,
335,359,338,Reggae,Music,Reggae,,
336,360,338,Blues,Music,Blues,,
337,361,338,Religious (Music and Audio),Music,Religious (Music and Audio),,
338,362,338,R&B/Soul/Funk,Music,R&B/Soul/Funk,,
339,363,338,Rock Music,Music,Rock Music,,
340,364,363,Album-oriented Rock,Music,Rock Music,Album-oriented Rock,
341,365,363,Alternative Rock,Music,Rock Music,Alternative Rock,
342,366,363,Classic Rock,Music,Rock Music,Classic Rock,
343,367,363,Hard Rock,Music,Rock Music,Hard Rock,
344,368,363,Soft Rock,Music,Rock Music,Soft Rock,
345,369,338,"Soundtracks, TV and Showtunes",Music,"Soundtracks, TV and Showtunes",,
346,377,338,Urban Contemporary Music,Music and Audio,Urban Contemporary Music,,
347,378,338,Variety (Music and Audio),Music and Audio,Variety (Music and Audio),,
348,380,,Crime,Crime,,,
349,381,,Disasters,Disasters,,,
350,383,,Law,Law,,,
351,386,,Politics,Politics,,,
352,387,386,Elections,Politics,Elections,,
353,388,386,Political Issues & Policy,Politics,Political Issues & policy,,
354,8YPBBL,386,Civic affairs,Politics,,,
355,389,,War and Conflicts,War and Conflicts,,,
356,391,,Personal Finance,Personal Finance,,,
357,392,391,Consumer Banking,Personal Finance,Consumer Banking,,
358,393,391,Financial Assistance,Personal Finance,Financial Assistance,,
359,394,393,Government Support and Welfare,Personal Finance,Financial Assistance,Government Support and Welfare,
360,395,393,Student Financial Aid,Personal Finance,Financial Assistance,Student Financial Aid,
361,396,391,Financial Planning,Personal Finance,Financial Planning,,
362,397,391,Frugal Living,Personal Finance,Frugal Living,,
363,398,391,Insurance,Personal Finance,Insurance,,
364,399,398,Health Insurance,Personal Finance,Insurance,Health Insurance,
365,400,398,Home Insurance,Personal Finance,Insurance,Home Insurance,
366,401,398,Life Insurance,Personal Finance,Insurance,Life Insurance,
367,402,398,Motor Insurance,Personal Finance,Insurance,Motor Insurance,
368,403,398,Pet Insurance,Personal Finance,Insurance,Pet Insurance,
369,404,398,Travel Insurance,Personal Finance,Insurance,Travel Insurance,
370,405,391,Personal Debt,Personal Finance,Personal Debt,,
371,406,405,Credit Cards,Personal Finance,Personal Debt,Credit Cards,
372,407,405,Home Financing,Personal Finance,Personal Debt,Home Financing,
373,408,405,Personal Loans,Personal Finance,Personal Debt,Personal Loans,
374,409,405,Student Loans,Personal Finance,Personal Debt,Student Loans,
375,410,391,Personal Investing,Personal Finance,Personal Investing,,
376,411,410,Hedge Funds,Personal Finance,Personal Investing,Hedge Funds,
377,412,410,Mutual Funds,Personal Finance,Personal Investing,Mutual Funds,
378,413,410,Options,Personal Finance,Personal Investing,Options,
379,414,410,Stocks and Bonds,Personal Finance,Personal Investing,Stocks and Bonds,
380,415,391,Personal Taxes,Personal Finance,Personal Taxes,,
381,416,391,Retirement Planning,Personal Finance,Retirement Planning,,
382,417,391,Home Utilities,Personal Finance,Home Utilities,,
383,418,417,Gas and Electric,Personal Finance,Home Utilities,Gas and Electric,
384,419,417,Internet Service Providers,Personal Finance,Home Utilities,Internet Service Providers,
385,420,417,Phone Services,Personal Finance,Home Utilities,Phone Services,
386,421,417,Water Services,Personal Finance,Home Utilities,Water Services,
387,422,,Pets,Pets,,,
388,423,422,Birds,Pets,Birds,,
389,424,422,Cats,Pets,Cats,,
390,425,422,Dogs,Pets,Dogs,,
391,426,422,Fish and Aquariums,Pets,Fish and Aquariums,,
392,427,422,Large Animals,Pets,Large Animals,,
393,428,422,Pet Adoptions,Pets,Pet Adoptions,,
394,429,422,Reptiles,Pets,Reptiles,,
395,430,422,Veterinary Medicine,Pets,Veterinary Medicine,,
396,431,422,Pet Supplies,Pets,Pet Supplies,,
397,432,,Pop Culture,Pop Culture,,,
398,433,432,Celebrity Deaths,Pop Culture,Celebrity Deaths,,
399,434,432,Celebrity Families,Pop Culture,Celebrity Families,,
400,435,432,Celebrity Homes,Pop Culture,Celebrity Homes,,
401,436,432,Celebrity Pregnancy,Pop Culture,Celebrity Pregnancy,,
402,437,432,Celebrity Relationships,Pop Culture,Celebrity Relationships,,
403,438,432,Celebrity Scandal,Pop Culture,Celebrity Scandal,,
404,439,432,Celebrity Style,Pop Culture,Celebrity Style,,
405,440,432,Humor and Satire,Pop Culture,Humor and Satire,,
406,441,,Real Estate,Real Estate,,,
407,442,441,Apartments,Real Estate,Apartments,,
408,443,441,Retail Property,Real Estate,Retail Property,,
409,444,441,Vacation Properties,Real Estate,Vacation Properties,,
410,445,441,Developmental Sites,Real Estate,Developmental Sites,,
411,446,441,Hotel Properties,Real Estate,Hotel Properties,,
412,447,441,Houses,Real Estate,Houses,,
413,448,441,Industrial Property,Real Estate,Industrial Property,,
414,449,441,Land and Farms,Real Estate,Land and Farms,,
415,450,441,Office Property,Real Estate,Office Property,,
416,451,441,Real Estate Buying and Selling,Real Estate,Real Estate Buying and Selling,,
417,452,441,Real Estate Renting and Leasing,Real Estate,Real Estate Renting and Leasing,,
418,453,,Religion & Spirituality,Religion & Spirituality,,,
419,454,453,Agnosticism,Religion & Spirituality,Agnosticism,,
420,455,453,Spirituality,Religion & Spirituality,Spirituality,,
421,456,453,Astrology,Religion & Spirituality,Astrology,,
422,457,453,Atheism,Religion & Spirituality,Atheism,,
423,458,453,Buddhism,Religion & Spirituality,Buddhism,,
424,459,453,Christianity,Religion & Spirituality,Christianity,,
425,460,453,Hinduism,Religion & Spirituality,Hinduism,,
426,461,453,Islam,Religion & Spirituality,Islam,,
427,462,453,Judaism,Religion & Spirituality,Judaism,,
428,463,453,Sikhism,Religion & Spirituality,Sikhism,,
429,464,,Science,Science,,,
430,465,464,Biological Sciences,Science,Biological Sciences,,
431,466,464,Chemistry,Science,Chemistry,,
432,467,464,Environment,Science,Environment,,
